time               CPU col1     col2    col3      col4    col5     col6    col7     col8    col9    col10
09:24:00 AM    0   79.53    0.00   19.80    0.00    0.00    0.00    0.00    0.00    0.00    0.67
09:24:00 AM    6   63.21    0.00   35.79    0.00    0.00    0.00    0.00    0.00    0.00    1.00
09:24:00 AM    8   15.52    0.00   30.69    0.00    0.00    0.72    0.00    0.00    0.00   53.07
09:24:03 AM    0   78.04    0.00    9.12    0.00    0.00    0.00    0.00    0.00    0.00   12.84
09:24:03 AM    6   52.90    0.00   24.57    0.00    0.00    0.00    0.00    0.00    0.00   22.53
09:24:03 AM    8    8.93    0.00   29.64    0.00    0.00    0.00    0.00    0.00    0.00   61.43
09:24:06 AM    0   73.74    0.00   19.53    0.00    0.00    0.00    0.00    0.00    0.00    6.73
09:24:06 AM    6   59.06    0.00   30.20    0.00    0.00    0.00    0.00    0.00    0.00   10.74
09:24:06 AM    8    7.17    0.00   21.51    0.00    0.00    0.36    0.00    0.00    0.00   70.97
09:24:09 AM    0   81.02    0.00   10.85    0.00    0.00    0.00    0.00    0.00    0.00    8.14
09:24:09 AM    6   56.12    0.00   33.33    0.00    0.00    0.00    0.00    0.00    0.00   10.54
09:24:09 AM    8   10.75    0.00   25.09    0.00    0.00    0.36    0.00    0.00    0.00   63.80
09:24:12 AM    0   77.85    0.00   16.78    0.00    0.00    0.34    0.00    0.00    0.00    5.03
09:24:12 AM    6   55.56    0.00   33.67    0.00    0.00    0.00    0.00    0.00    0.00   10.77
09:24:12 AM    8    7.19    0.00   23.02    0.00    0.00    0.00    0.00    0.00    0.00   69.78
09:24:15 AM    0   84.05    0.00   15.61    0.00    0.00    0.00    0.00    0.00    0.00    0.33
